FID,ZONING_COD,ZONING_NAM,ZONING_TYP,Shape_Leng,Shape_Area,Shape__Area,Shape__Length
260,R1,RES SINGLE FAMILY,RESIDENTIAL,3401.89775624,736948.50044,7.049352717e-06,0.01077253272352
261,OR1,OFFICE/RES,OFFICE,2295.03086919,180289.90594,1.724480051e-06,0.007127469676292
262,R1,RES SINGLE FAMILY,RESIDENTIAL,4527.89203458,982405.649148,9.396644991e-06,0.014028433828631
263,R7,RES MULTI-FAMILY,RESIDENTIAL,1214.9740789,88519.4453656,8.46685104e-07,0.003721824535381
264,OR1,OFFICE/RES,OFFICE,1320.80374351,110658.004881,1.058423126e-06,0.004117811002089
265,R1,RES SINGLE FAMILY,RESIDENTIAL,9442.99645479,1675156.95544,1.6022004076e-05,0.029349968285791
266,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,3308.36893781,573578.286364,5.480501823e-06,0.010616015155779
267,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1027.5905829,60070.46,5.74438174e-07,0.003290444635618
268,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,610.502752897,22372.5615852,2.13813575e-07,0.001944821440488
269,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2391.03300425,223267.340384,2.133353161e-06,0.007621691738422
270,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,3658.75163449,515017.3985,4.92419645e-06,0.011261974234413
271,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,773.947228905,35863.2512312,3.42910791e-07,0.00241580622181
272,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1167.38970261,64878.1046031,6.20526763e-07,0.0036934235984
273,R5,RES SINGLE FAMILY,RESIDENTIAL,2737.18116386,311798.80434,2.982126264e-06,0.008647950208725
274,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,2683.02171949,271240.765282,2.594219171e-06,0.008314266168115
275,R2,RES SINGLE FAMILY,RESIDENTIAL,2648.66279988,315804.423284,3.020419977e-06,0.008638919126641
276,M3,INDUSTRIAL,INDUSTRIAL,21850.4344345,17955327.5352,0.000171570430751,0.069589694756898
277,R4,RES SINGLE FAMILY,RESIDENTIAL,5143.18627456,1028247.27312,9.825859068e-06,0.015419796955316
278,R4,RES SINGLE FAMILY,RESIDENTIAL,4415.46290015,989285.57959,9.453614496e-06,0.014452811458929
279,R6,RES MULTI-FAMILY,RESIDENTIAL,5643.78986904,920554.89522,8.796715903e-06,0.017525284663908
280,R5,RES SINGLE FAMILY,RESIDENTIAL,11609.6274148,5329316.36776,5.0929490772e-05,0.03713392142094
281,R4,RES SINGLE FAMILY,RESIDENTIAL,5941.4268032,1853707.59185,1.7714713193e-05,0.019034465397705
282,EZ1,ENTERPRISE ZONE,COMMERCIAL-INDUSTRIAL,28641.8309181,18621346.8564,0.000177936214808,0.09044599749265
283,R6,RES MULTI-FAMILY,RESIDENTIAL,4242.24784454,756877.83707,7.232885036e-06,0.013567296490836
