FID,ZONING_COD,ZONING_NAM,ZONING_TYP,Shape_Leng,Shape_Area,Shape__Area,Shape__Length
4522,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,353.319132714,7552.69882031,7.2234289e-08,0.001106785472559
4523,UN,URBAN NEIGHBORHOOD,RESIDENTIAL,62.7404333379,56.7622289063,5.42935e-10,0.000175392771701
4524,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,848.659661693,39975.0916742,3.82323885e-07,0.002659257337037
4525,R1,RES SINGLE FAMILY,RESIDENTIAL,1918.51978646,230571.493074,2.205109771e-06,0.005976875203707
4526,M2,INDUSTRIAL,INDUSTRIAL,181.965965687,1326.93504219,1.2690845e-08,0.000572632801558
4527,UN,URBAN NEIGHBORHOOD,RESIDENTIAL,2608.60278751,394205.98367,3.770389857e-06,0.008126868178666
4528,R6,RES MULTI-FAMILY,RESIDENTIAL,7518.24441356,1012689.95697,9.685729743e-06,0.023246812528588
4529,CR,COMM RESIDENTIAL,COMMERCIAL-INDUSTRIAL,243.16812507,3516.31928437,3.3630645e-08,0.000757292751509
4530,CR,COMM RESIDENTIAL,COMMERCIAL-INDUSTRIAL,375.911830155,7351.36313984,7.0306435e-08,0.001224921532314
4531,R6,RES MULTI-FAMILY,RESIDENTIAL,388.266991927,6033.43278594,5.771105e-08,0.001294317035848
4532,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,424.284984736,10628.5189742,1.01660675e-07,0.001325925679635
4533,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2601.25675508,351056.612817,3.358152709e-06,0.008168715121335
4534,PRD,PLANNED RESIDENTIAL,RESIDENTIAL,2240.3681735,272122.891843,2.599470845e-06,0.006974034024258
4535,R1,RES SINGLE FAMILY,RESIDENTIAL,4563.00707312,893143.860878,8.543417936e-06,0.013933567829647
4536,R3,RES SINGLE FAMILY,RESIDENTIAL,18670.9113413,11412813.6781,0.000109162699848,0.057720339098728
3001,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1431.94266614,99371.4297687,9.50077077e-07,0.004221776123427
3002,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,417.619377997,9395.57181641,8.9821324e-08,0.001358625141125
3003,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,821.470972683,41871.1454187,4.00104709e-07,0.002556348599
3004,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1053.00963425,39215.9148063,3.74676317e-07,0.003091559419892
3005,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,784.365527133,16941.0303516,1.62006184e-07,0.002491930561768
3006,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1869.42172319,161170.564925,1.541414058e-06,0.005766709293042
3007,OR2,OFFICE/RES,OFFICE,518.315323565,11663.6071344,1.11528903e-07,0.001580167086741
3008,OR1,OFFICE/RES,OFFICE,400.320320306,9675.48166641,9.2518108e-08,0.001266653538553
3009,R6,RES MULTI-FAMILY,RESIDENTIAL,472.299082448,12156.8012797,1.16244156e-07,0.001501819321752
3010,OR1,OFFICE/RES,OFFICE,464.380778092,9701.31648906,9.2762182e-08,0.00135831336702
3011,R8A,RES MULTI-FAMILY,RESIDENTIAL,1726.9443458,181004.966981,1.730707909e-06,0.005270090432351
3012,C3,CENTRAL BUSINESS,COMMERCIAL-INDUSTRIAL,2470.99048768,272310.23475,2.60376195e-06,0.008158743525909
3013,C3,CENTRAL BUSINESS,COMMERCIAL-INDUSTRIAL,1589.36060768,88492.5440094,8.46144519e-07,0.004833799808296
3014,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,608.604243208,20650.3986172,1.97455735e-07,0.001932559446436
3015,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,568.435095853,15828.0169984,1.51344361e-07,0.001677349019264
3016,(CM),COMM MANUFACTURING OVERLAY,COMMERCIAL-INDUSTRIAL,3824.59635608,779867.80832,7.456764546e-06,0.011941156765331
3017,M2,INDUSTRIAL,INDUSTRIAL,2236.85172934,248620.115716,2.375784001e-06,0.007225183002694
3018,M3,INDUSTRIAL,INDUSTRIAL,42400.6427034,38218149.6405,0.000364983324803,0.122546798988694
3019,M2,INDUSTRIAL,INDUSTRIAL,1125.59567445,35058.0143656,3.34890286e-07,0.003358815546495
3020,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,850.565767614,37647.4669813,3.59625889e-07,0.002671409851544
3021,R6,RES MULTI-FAMILY,RESIDENTIAL,820.909429199,42303.5931969,4.04102834e-07,0.002608932678754
3022,R6,RES MULTI-FAMILY,RESIDENTIAL,3494.32060451,637020.64256,6.084940967e-06,0.010894230116384
3023,R6,RES MULTI-FAMILY,RESIDENTIAL,6706.62935233,2245408.67144,2.1447007373e-05,0.020319554417585
3024,M3,INDUSTRIAL,INDUSTRIAL,4452.12920327,806024.548694,7.698635243e-06,0.012922911854587
3025,R5,RES SINGLE FAMILY,RESIDENTIAL,964.115513386,37335.6678008,3.56549207e-07,0.003049978798082
3026,PEC,PLANNED EMPLOYMENT CENTER,SPECIAL,8316.85737309,2091206.5901,1.9968756596e-05,0.026892521254432
3027,R4,RES SINGLE FAMILY,RESIDENTIAL,3745.85347675,403725.924144,3.855259e-06,0.011882869551002
3028,R4,RES SINGLE FAMILY,RESIDENTIAL,8480.50491259,4136755.44233,3.9500576998e-05,0.026932720524241
3029,R6,RES MULTI-FAMILY,RESIDENTIAL,11068.7838271,3437766.42409,3.2824828374e-05,0.035360374998307
3030,R4,RES SINGLE FAMILY,RESIDENTIAL,5678.2572153,1175699.56919,1.1225696065e-05,0.019013700847238
3031,EZ1,ENTERPRISE ZONE,COMMERCIAL-INDUSTRIAL,17787.7845462,11941767.4986,0.000113997137708,0.052115193330545
3032,R4,RES SINGLE FAMILY,RESIDENTIAL,2695.78910899,423723.2539,4.045183018e-06,0.008607664403301
3033,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,1018.67000541,61737.0532773,5.89389254e-07,0.003097671381549
3034,W3,WATERFRONT,SPECIAL,4885.21924865,1342256.33984,1.2813779117e-05,0.015550229728852
3035,R4,RES SINGLE FAMILY,RESIDENTIAL,1047.87202826,37451.3104961,3.57525725e-07,0.003520320803093
3036,M3,INDUSTRIAL,INDUSTRIAL,7796.61263348,2758012.80403,2.6327472973e-05,0.023371750160816
3037,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2043.27890655,250253.276848,2.388630678e-06,0.006230729674425
3038,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2567.88014653,411124.765283,3.924090096e-06,0.007960965048584
3039,M2,INDUSTRIAL,INDUSTRIAL,1356.67105365,37200.28465,3.55069265e-07,0.003968761891635
3040,M3,INDUSTRIAL,INDUSTRIAL,3160.13570986,601926.205116,5.745148763e-06,0.00963807558899
3041,EZ1,ENTERPRISE ZONE,COMMERCIAL-INDUSTRIAL,635.029599873,23175.1330672,2.21200053e-07,0.001922949751218
3042,R5,RES SINGLE FAMILY,RESIDENTIAL,5945.26048193,2114163.47003,2.0177599369e-05,0.018853532452108
3043,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2831.44604079,457221.45293,4.363590707e-06,0.008864217981306
3044,R6,RES MULTI-FAMILY,RESIDENTIAL,1087.29950679,35563.1627094,3.39396454e-07,0.003439922559345
3045,R4,RES SINGLE FAMILY,RESIDENTIAL,719.970631071,32589.0491016,3.110094e-07,0.002245859029569
3046,R7,RES MULTI-FAMILY,RESIDENTIAL,1415.69809651,89565.5400781,8.54595523e-07,0.004358831105277
3047,OR1,OFFICE/RES,OFFICE,809.309686567,39604.2308438,3.78117958e-07,0.00255756079547
3048,M2,INDUSTRIAL,INDUSTRIAL,953.118264666,44147.5673547,4.21204938e-07,0.003051526272431
3049,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,14258.9416824,2139152.68118,2.042225201e-05,0.045173206265159
3050,R6,RES MULTI-FAMILY,RESIDENTIAL,10784.6796,4510096.90884,4.3023496446e-05,0.033077106487711
3051,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,871.838198027,40354.3594594,3.84984695e-07,0.002629908886401
3052,R5,RES SINGLE FAMILY,RESIDENTIAL,2493.3647222,372751.42333,3.555983812e-06,0.007858126326059
3053,R6,RES MULTI-FAMILY,RESIDENTIAL,2686.12196956,199529.049005,1.903335758e-06,0.008644583635664
3054,R7,RES MULTI-FAMILY,RESIDENTIAL,2804.11776765,224888.66303,2.145198897e-06,0.008054402001259
3055,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,882.683376491,36958.3496312,3.52546766e-07,0.002813350878126
3056,R1,RES SINGLE FAMILY,RESIDENTIAL,3247.43357822,506500.2363,4.831409178e-06,0.010386011457242
3057,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1634.90897143,142409.2858,1.358422139e-06,0.004951219973157
3058,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2087.67316894,162010.445798,1.545367266e-06,0.006628851470806
3059,R7,RES MULTI-FAMILY,RESIDENTIAL,2262.6619946,170229.37569,1.623787276e-06,0.007504425452386
3060,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,7419.04965835,936735.938388,8.934736152e-06,0.022156681797407
3061,R6,RES MULTI-FAMILY,RESIDENTIAL,4535.45348157,748235.556191,7.136867855e-06,0.014269063173364
3062,R4,RES SINGLE FAMILY,RESIDENTIAL,5240.1028373,852922.76892,8.135208788e-06,0.016541993317209
3063,OR1,OFFICE/RES,OFFICE,893.005752918,25297.7219359,2.41287295e-07,0.002926935373159
3064,OR1,OFFICE/RES,OFFICE,962.248684467,56393.7510328,5.37863299e-07,0.002959582338711
3065,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,1146.51808838,68563.828468,6.5391957e-07,0.00349509443301
3066,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1079.28339865,72381.7173438,6.90272797e-07,0.003396183643313
3067,R5A,RES MULTI FAMILY,RESIDENTIAL,3266.05394638,340318.63892,3.249636013e-06,0.010915844436049
3068,R5,RES SINGLE FAMILY,RESIDENTIAL,2967.59631349,548102.30352,5.226865519e-06,0.0093606824378
3069,R5A,RES MULTI FAMILY,RESIDENTIAL,11436.7743611,2705211.63009,2.5824415848e-05,0.033995303343885
3070,R5A,RES MULTI FAMILY,RESIDENTIAL,2379.90814029,201659.13784,1.929379752e-06,0.007886716954583
3071,R5A,RES MULTI FAMILY,RESIDENTIAL,3289.09927041,367261.133394,3.504419716e-06,0.009785119813229
3072,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,971.562289208,53737.9086023,5.13766101e-07,0.003134531323285
3073,R4,RES SINGLE FAMILY,RESIDENTIAL,901.73848041,41051.2444352,3.92527817e-07,0.00281276478003
3074,R5,RES SINGLE FAMILY,RESIDENTIAL,5949.46372948,2037909.69502,1.9487679975e-05,0.018872755244165
3075,R4,RES SINGLE FAMILY,RESIDENTIAL,1537.21206638,109942.37244,1.051338236e-06,0.004742594939723
3076,R4,RES SINGLE FAMILY,RESIDENTIAL,774.428113188,28052.5428531,2.68252111e-07,0.002397263588935
3077,R6,RES MULTI-FAMILY,RESIDENTIAL,9458.43271058,3068032.3309,2.9336385766e-05,0.029435927800661
3078,R5A,RES MULTI FAMILY,RESIDENTIAL,3363.90136791,310997.49651,2.970111683e-06,0.01099682505951
3079,R5A,RES MULTI FAMILY,RESIDENTIAL,1241.34149218,89649.71592,8.57348157e-07,0.003832510863016
3080,R4,RES SINGLE FAMILY,RESIDENTIAL,7024.65409707,2164860.36029,2.0702038857e-05,0.021711007150787
3081,R5,RES SINGLE FAMILY,RESIDENTIAL,2591.25152459,293302.735966,2.805027501e-06,0.008091605779399
3082,R5A,RES MULTI FAMILY,RESIDENTIAL,2937.06731436,248232.16088,2.374920862e-06,0.008925718916667
3083,R7,RES MULTI-FAMILY,RESIDENTIAL,5637.3894736,1058627.9716,1.0124531991e-05,0.017750057783657
3084,OR3,OFFICE/RES,OFFICE,1013.69004716,55391.9353891,5.29768725e-07,0.003244020605665
3085,R7,RES MULTI-FAMILY,RESIDENTIAL,3855.71018642,905147.091475,8.656655302e-06,0.012194559287242
3086,R6,RES MULTI-FAMILY,RESIDENTIAL,4191.97206409,984048.161309,9.412424357e-06,0.012934553816866
3087,R7,RES MULTI-FAMILY,RESIDENTIAL,2391.89456764,283454.74825,2.711260228e-06,0.007311119373279
3088,R4,RES SINGLE FAMILY,RESIDENTIAL,3850.95383386,667436.65301,6.383828107e-06,0.011870108967639
3089,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1848.11789918,175825.503181,1.681747218e-06,0.005741169839806
3090,OR3,OFFICE/RES,OFFICE,2232.98026492,252868.707838,2.418609646e-06,0.007080735804227
3091,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,4032.06106021,442563.37583,4.232940016e-06,0.01298099505394
3092,R5,RES SINGLE FAMILY,RESIDENTIAL,4169.24068849,1008702.93508,9.647549921e-06,0.013134687752614
3093,R5,RES SINGLE FAMILY,RESIDENTIAL,8407.4342798,2659975.14527,2.5440522249e-05,0.02542551780319
3094,R5,RES SINGLE FAMILY,RESIDENTIAL,12982.0003083,5177147.78792,4.9519957977e-05,0.040821631792653
3095,R3,RES SINGLE FAMILY,RESIDENTIAL,5342.48448939,1012408.15885,9.68391662e-06,0.015914227843078
3096,R6,RES MULTI-FAMILY,RESIDENTIAL,7639.05082679,1795894.70727,1.7178138518e-05,0.023795410593332
3097,R4,RES SINGLE FAMILY,RESIDENTIAL,661.821111164,25899.467032,2.47738495e-07,0.002070239151065
3098,R6,RES MULTI-FAMILY,RESIDENTIAL,2958.25144485,345505.323945,3.304963795e-06,0.009382386847256
3099,M2,INDUSTRIAL,INDUSTRIAL,1426.22232021,97613.7146828,9.33270926e-07,0.004200156881896
3100,OTF,OFFICE/TOURIST FACILITY,OFFICE,2033.25914658,194809.63263,1.86257775e-06,0.00635994057353
3101,R7,RES MULTI-FAMILY,RESIDENTIAL,640.307329734,23617.9298328,2.25806891e-07,0.002066836900863
3102,R7,RES MULTI-FAMILY,RESIDENTIAL,580.189566785,20854.16845,1.99384397e-07,0.00178401999279
3103,OR1,OFFICE/RES,OFFICE,457.861232749,5911.87387031,5.6522238e-08,0.001550857832357
3104,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1095.7853384,56402.1062281,5.39244567e-07,0.003348497285766
3105,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1101.42268513,43885.4795453,4.1958251e-07,0.003593746388254
3106,OR2,OFFICE/RES,OFFICE,3147.97836998,303193.55324,2.898729966e-06,0.009296958340883
3107,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,687.615016012,27122.1594437,2.59088469e-07,0.002166283259125
3108,R7,RES MULTI-FAMILY,RESIDENTIAL,6086.90483333,719369.69329,6.877580758e-06,0.019759660523807
3109,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,8003.80026011,987839.533748,9.446868414e-06,0.025794201780581
3110,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,826.680850988,25528.9176437,2.44074117e-07,0.002635327033909
3111,R7,RES MULTI-FAMILY,RESIDENTIAL,3527.24302337,451735.394084,4.318807524e-06,0.011792262065397
3112,OR2,OFFICE/RES,OFFICE,774.182484571,34544.0695797,3.30260765e-07,0.002336936777171
3113,R6,RES MULTI-FAMILY,RESIDENTIAL,3543.21278102,185850.344692,1.777917691e-06,0.011191640738035
3114,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,4748.92329659,482867.001119,4.619233383e-06,0.014911322846638
3115,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,1387.69723357,90513.2793602,8.65874075e-07,0.004295040214302
3116,R3,RES SINGLE FAMILY,RESIDENTIAL,6119.50430603,1349386.96219,1.290802489e-05,0.01963636074989
3117,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2365.17912522,216367.8605,2.066140844e-06,0.007127048516628
3118,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1933.25771107,113181.248663,1.081928075e-06,0.005881883247288
3119,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1353.46497759,94186.8332844,8.99141836e-07,0.004368445345886
3120,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,802.692473815,40229.5254063,3.84048352e-07,0.002497762750445
3121,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,690.039411259,22770.3037758,2.17759951e-07,0.002032393170143
3122,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,591.079811108,16527.3807445,1.58002644e-07,0.001945442691279
3123,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1084.67810456,66927.1638391,6.39138621e-07,0.00353241135897
3124,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1462.37268069,99212.8265469,9.47772387e-07,0.004448170939963
3125,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,797.6008657,39652.1681094,3.79189676e-07,0.002473873896964
3126,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,4698.50496376,1100376.99006,1.0514376743e-05,0.014189800393172
3127,R5,RES SINGLE FAMILY,RESIDENTIAL,885.988028729,44639.55834,4.26828175e-07,0.002715490728954
3128,OR1,OFFICE/RES,OFFICE,443.161902062,7293.85698672,6.9738333e-08,0.001482190909606
3129,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,1838.57733876,184445.928453,1.76358925e-06,0.005922531453518
3130,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1200.81307929,58070.8907781,5.55228491e-07,0.003827368974277
3131,UN,URBAN NEIGHBORHOOD,RESIDENTIAL,13264.6094247,4480283.94086,4.2835531382e-05,0.041488038984145
3132,R7,RES MULTI-FAMILY,RESIDENTIAL,856.722671049,44599.2815844,4.26421166e-07,0.00266895217056
3133,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,876.711556164,46590.5933125,4.45461799e-07,0.002674456121857
3134,R7,RES MULTI-FAMILY,RESIDENTIAL,926.484977253,51502.0832906,4.92412934e-07,0.002870268644086
3135,OTF,OFFICE/TOURIST FACILITY,OFFICE,1005.29697359,60579.7309203,5.79208803e-07,0.003109528620485
3136,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,911.236520129,29681.9902531,2.83790978e-07,0.002983692445227
3137,OR2,OFFICE/RES,OFFICE,8358.91323453,1192797.73166,1.1403941252e-05,0.025324107875544
3138,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2308.03802112,302477.2657,2.893195322e-06,0.007180827387576
3139,OR3,OFFICE/RES,OFFICE,1232.32474193,71968.7775266,6.88277863e-07,0.003901770407051
3140,OR1,OFFICE/RES,OFFICE,1141.53049664,66825.5619531,6.39085127e-07,0.003661601483713
3141,R5,RES SINGLE FAMILY,RESIDENTIAL,3398.1896617,591596.950411,5.657041264e-06,0.010532992150351
3142,R5B,RES TWO-FAMILY,RESIDENTIAL,797.143401366,39494.9376313,3.77665011e-07,0.002485032255936
3143,OR3,OFFICE/RES,OFFICE,3057.51275009,395759.87263,3.784337833e-06,0.009453512638822
3144,OR1,OFFICE/RES,OFFICE,748.169557522,34815.7013563,3.32911447e-07,0.002351477275517
3145,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1299.74179,96272.2481766,9.20562011e-07,0.004124814183159
3146,OR2,OFFICE/RES,OFFICE,2441.96992062,207564.7538,1.984651783e-06,0.007963901331341
3147,R5,RES SINGLE FAMILY,RESIDENTIAL,13192.0977383,6663366.12219,6.3705788205e-05,0.042569256634973
3148,OR3,OFFICE/RES,OFFICE,1937.70963902,232628.674322,2.224223817e-06,0.006053306900871
3149,OR1,OFFICE/RES,OFFICE,1331.95344772,108935.91261,1.041564814e-06,0.004063809657534
3150,R7,RES MULTI-FAMILY,RESIDENTIAL,2210.01394561,213774.46563,2.043853388e-06,0.007320542963451
3151,OR3,OFFICE/RES,OFFICE,767.846303549,35687.1622375,3.41213475e-07,0.00235726851202
3152,M2,INDUSTRIAL,INDUSTRIAL,2679.81961504,418471.782636,4.000912116e-06,0.008091233642247
3153,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1108.28637455,44010.3655719,4.20778762e-07,0.003347789042836
3154,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,515.912115596,10389.4729031,9.9332566e-08,0.001536652967697
3155,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,545.444588193,18575.6572813,1.77597182e-07,0.001697769440308
3156,OR1,OFFICE/RES,OFFICE,1661.67129309,104975.063941,1.003664338e-06,0.005131630223388
3157,R7,RES MULTI-FAMILY,RESIDENTIAL,2596.93415267,450798.405494,4.310044589e-06,0.008196980571727
3158,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2063.36200069,274969.62191,2.628999107e-06,0.006766899163066
3159,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,607.166630667,20767.8463109,1.98556581e-07,0.001825076137444
3160,R7,RES MULTI-FAMILY,RESIDENTIAL,7363.25453103,1424785.60902,1.3609230394e-05,0.023872653255966
3161,R4,RES SINGLE FAMILY,RESIDENTIAL,4700.10850276,606961.02937,5.797755283e-06,0.013986963268179
3162,R7,RES MULTI-FAMILY,RESIDENTIAL,1442.60734666,58887.2707305,5.62498475e-07,0.004564698919954
3163,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1152.41934376,47086.9443344,4.49776022e-07,0.003710437110518
3164,R1,RES SINGLE FAMILY,RESIDENTIAL,10229.3880314,1449991.93067,1.3849812854e-05,0.033601978697512
3165,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1106.1180168,76377.50977,7.29552691e-07,0.003462820366365
3166,R5A,RES MULTI FAMILY,RESIDENTIAL,770.817058578,17013.227125,1.62530898e-07,0.002396168324591
3167,R7,RES MULTI-FAMILY,RESIDENTIAL,5970.9781159,650779.714013,6.216264764e-06,0.018392252966777
3168,R5,RES SINGLE FAMILY,RESIDENTIAL,12152.2977086,4709550.56751,4.4983328428e-05,0.037128766593078
3169,R7,RES MULTI-FAMILY,RESIDENTIAL,2500.94117243,213066.97687,2.035215011e-06,0.007348138666948
3170,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1161.14524593,47931.7964219,4.57848157e-07,0.003703432942928
3171,R4,RES SINGLE FAMILY,RESIDENTIAL,981.161496599,31992.1468969,3.05591839e-07,0.003159013553252
3172,R5,RES SINGLE FAMILY,RESIDENTIAL,1505.29952769,101257.253844,9.67189023e-07,0.005018379215929
3173,R7,RES MULTI-FAMILY,RESIDENTIAL,3929.67624943,887906.598961,8.48107737e-06,0.01212585261329
3174,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,6111.45057226,746517.81652,7.130556423e-06,0.018794848230772
3175,R5A,RES MULTI FAMILY,RESIDENTIAL,990.329811682,61249.8304687,5.85683671e-07,0.003073308953619
3176,R7,RES MULTI-FAMILY,RESIDENTIAL,4063.99152655,372296.072348,3.556061828e-06,0.013316839145785
3177,R6,RES MULTI-FAMILY,RESIDENTIAL,656.27089118,15649.8413961,1.49497813e-07,0.002149482899564
3178,R7,RES MULTI-FAMILY,RESIDENTIAL,875.896541773,47463.5127578,4.53399857e-07,0.002749856555317
3179,R5,RES SINGLE FAMILY,RESIDENTIAL,3318.95260049,642581.0338,6.138374676e-06,0.010104802993568
3180,R4,RES SINGLE FAMILY,RESIDENTIAL,2688.96269559,385605.19977,3.683490722e-06,0.007895439725772
3181,R4,RES SINGLE FAMILY,RESIDENTIAL,1892.74730397,143669.4234,1.372432834e-06,0.005789365102941
3182,R6,RES MULTI-FAMILY,RESIDENTIAL,1193.51930743,49141.9224594,4.69425208e-07,0.0040178623253
3183,R6,RES MULTI-FAMILY,RESIDENTIAL,2992.26981407,213672.537344,2.041079189e-06,0.009808168233587
3184,R7,RES MULTI-FAMILY,RESIDENTIAL,501.019905179,11531.8307562,1.10156807e-07,0.001651848612221
3185,R6,RES MULTI-FAMILY,RESIDENTIAL,4593.09326324,624721.927319,5.967452883e-06,0.014373446575703
3186,R4,RES SINGLE FAMILY,RESIDENTIAL,577.487143728,16143.9447719,1.54212385e-07,0.001863682458036
3187,R6,RES MULTI-FAMILY,RESIDENTIAL,871.766418149,41676.3246266,3.98108328e-07,0.002807242549968
3188,R1,RES SINGLE FAMILY,RESIDENTIAL,5322.37006544,1296644.43803,1.2385632004e-05,0.015822375870763
3189,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,4173.17345929,474082.392286,4.52849599e-06,0.012385127137807
3190,R5,RES SINGLE FAMILY,RESIDENTIAL,2332.87297456,312245.005553,2.982592062e-06,0.007239644706592
3191,R5,RES SINGLE FAMILY,RESIDENTIAL,6353.44029016,1224979.19014,1.1700912476e-05,0.019690619390276
3192,R7,RES MULTI-FAMILY,RESIDENTIAL,1016.73798607,56895.7267547,5.43488034e-07,0.00329103761462
3193,R4,RES SINGLE FAMILY,RESIDENTIAL,754.697556921,25366.1767797,2.423185e-07,0.002449430932668
3194,OR3,OFFICE/RES,OFFICE,1840.2446976,149989.930025,1.432839757e-06,0.00565061979289
3195,R7,RES MULTI-FAMILY,RESIDENTIAL,441.909518266,11619.6904234,1.11002138e-07,0.001340651443951
3196,R6,RES MULTI-FAMILY,RESIDENTIAL,9662.22685555,3209179.31519,3.0655877619e-05,0.02965845976111
3197,OR2,OFFICE/RES,OFFICE,634.498027842,19289.9366023,1.84275036e-07,0.002062126306143
3198,R6,RES MULTI-FAMILY,RESIDENTIAL,2367.03874698,345786.956444,3.303176769e-06,0.007476182416544
3199,R6,RES MULTI-FAMILY,RESIDENTIAL,4857.64381085,320084.83297,3.057660478e-06,0.014787792096551
3200,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,887.425156179,47462.9954437,4.53508914e-07,0.002746869727356
3201,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1275.28185913,59327.13277,5.6720643e-07,0.004097564799704
3202,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,204.316622944,2770.51837188,2.6446885e-08,0.000643245119683
3203,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1548.68656051,131771.08072,1.259773855e-06,0.004950341391763
3204,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,4609.98936148,586654.629788,5.608787651e-06,0.014468183932493
3205,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,797.555627786,37219.1865281,3.55638104e-07,0.002409990069389
3206,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,3259.55846373,278723.440445,2.66465253e-06,0.010357268412787
3207,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,806.257262934,27019.3378609,2.58395454e-07,0.002516348308332
3208,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,466.290058034,9822.3124125,9.39008e-08,0.001427931592643
3209,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1503.14436635,138509.60325,1.324459749e-06,0.004614467404085
3210,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,459.087706069,10741.1967922,1.02494586e-07,0.001466587567502
3211,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,885.990143317,41679.0411406,3.97347474e-07,0.002693562392676
3212,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1286.42670511,83777.0384922,8.01211804e-07,0.003869037103814
3213,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,3171.24675457,569372.49516,5.451388262e-06,0.009657536305348
3214,R7,RES MULTI-FAMILY,RESIDENTIAL,777.549002926,30639.9643984,2.92699387e-07,0.002512234932562
3215,R6,RES MULTI-FAMILY,RESIDENTIAL,4103.9844599,356166.727924,3.402493333e-06,0.013592035029311
